shuffle	jackknife	query	pid	spec	called_spec	method	call_made	call	snn	methshuf
jk7	k8_as_query	Q93N87_A2-5-_hpg|hpg2cl	81.89	hpg|hpg2cl	hpg|hpg2cl	forced_prediCAT	Y	Y	2.5846682825952847	forced_prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A7_abu|iva	57.63	abu|iva	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A7_abu|iva	57.63	abu|iva	gly	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q50E73_A4-9-_asp	97.29	asp	asp	prediCAT	Y	Y	0.7384755570119637	prediCAT_jk7
jk7	k8_as_query	Q50E73_A4-9-_asp	97.29	asp	asp	forced_prediCAT	Y	Y	0.7384755570119637	forced_prediCAT_jk7
jk7	k8_as_query	Q9Z4X6_A3_trp	65.47	trp	no_confident_result	prediCAT	N	N	0.11225627384428734	prediCAT_jk7
jk7	k8_as_query	Q9Z4X6_A3_trp	65.47	trp	trp	forced_prediCAT	Y	Y	0.11225627384428734	forced_prediCAT_jk7
jk7	k8_as_query	EPE34341-1_2860_mod3_4oh-pro	100.00	4oh-pro	no_confident_result	prediCAT	N	N	0.6849883767788832	prediCAT_jk7
jk7	k8_as_query	EPE34341-1_2860_mod3_4oh-pro	100.00	4oh-pro	3oh-pro|3oh-4me-pro	forced_prediCAT	Y	N	0.6849883767788832	forced_prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A11_leu	57.90	leu	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A11_leu	57.90	leu	gly	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q9FDB0_A1_thr	35.49	thr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q9FDB0_A1_thr	35.49	thr	d-cys	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000449_AHF21228-1_474_mod1_val	62.24	val	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000449_AHF21228-1_474_mod1_val	62.24	val	ile	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70KJ7_A2_leu	81.41	leu	leu	prediCAT	Y	Y	0.5218354850053175	prediCAT_jk7
jk7	k8_as_query	Q70KJ7_A2_leu	81.41	leu	leu	forced_prediCAT	Y	Y	0.5218354850053175	forced_prediCAT_jk7
jk7	k8_as_query	O52819_A1_leu	81.56	leu	no_confident_result	prediCAT	N	N	3.043325995203549	prediCAT_jk7
jk7	k8_as_query	O52819_A1_leu	81.56	leu	leu	forced_prediCAT	Y	Y	3.043325995203549	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000371_BAH31686-1_483_mod1_fhorn	63.39	fhorn	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000371_BAH31686-1_483_mod1_fhorn	63.39	fhorn	orn	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70LM6_A1-3-_ala	62.21	ala	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q70LM6_A1-3-_ala	62.21	ala	gly	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	O52819_A3_asn	86.76	asn	no_confident_result	prediCAT	N	N	0.5909758971098948	prediCAT_jk7
jk7	k8_as_query	O52819_A3_asn	86.76	asn	asn	forced_prediCAT	Y	Y	0.5909758971098948	forced_prediCAT_jk7
jk7	k8_as_query	AHF21228-1_11933_mod9_phe	100.00	phe	no_confident_result	prediCAT	N	N	2.582132437744967	prediCAT_jk7
jk7	k8_as_query	AHF21228-1_11933_mod9_phe	100.00	phe	phe	forced_prediCAT	Y	Y	2.582132437744967	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000463_AGM14933-1_7925_mod8_leu	79.67	leu	no_confident_result	prediCAT	N	N	0.7169059045278797	prediCAT_jk7
jk7	k8_as_query	BGC0000463_AGM14933-1_7925_mod8_leu	79.67	leu	leu	forced_prediCAT	Y	Y	0.7169059045278797	forced_prediCAT_jk7
jk7	k8_as_query	P35854_A1_ala	52.37	ala	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	P35854_A1_ala	52.37	ala	ala	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	P26046_A2_cys	99.81	cys	cys	prediCAT	Y	Y	1.3214894492638052	prediCAT_jk7
jk7	k8_as_query	P26046_A2_cys	99.81	cys	cys	forced_prediCAT	Y	Y	1.3214894492638052	forced_prediCAT_jk7
jk7	k8_as_query	CCJ67637-1_2717_mod3_d-ser	85.04	d-ser	no_confident_result	prediCAT	N	N	2.135836225948231	prediCAT_jk7
jk7	k8_as_query	CCJ67637-1_2717_mod3_d-ser	85.04	d-ser	d-ser	forced_prediCAT	Y	Y	2.135836225948231	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000439_AHH53508-1_1559_mod2_kyn	54.22	kyn	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000439_AHH53508-1_1559_mod2_kyn	54.22	kyn	trp	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000400_AGM16412-1_3015_mod3_thr	100.00	thr	thr	prediCAT	Y	Y	0.9865358468352919	prediCAT_jk7
jk7	k8_as_query	BGC0000400_AGM16412-1_3015_mod3_thr	100.00	thr	thr	forced_prediCAT	Y	Y	0.9865358468352919	forced_prediCAT_jk7
jk7	k8_as_query	CCA29202-1_1497_mod2_cys	56.92	cys	cys	prediCAT	Y	Y	0.0	prediCAT_jk7
jk7	k8_as_query	CCA29202-1_1497_mod2_cys	56.92	cys	cys	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q83VS1_A5_ala	100.00	ala	ala	prediCAT	Y	Y	3.7079036363527464	prediCAT_jk7
jk7	k8_as_query	Q83VS1_A5_ala	100.00	ala	ala	forced_prediCAT	Y	Y	3.7079036363527464	forced_prediCAT_jk7
jk7	k8_as_query	AHZ34233-1_3643_mod4_leu	94.98	leu	leu	prediCAT	Y	Y	1.2783306710153566	prediCAT_jk7
jk7	k8_as_query	AHZ34233-1_3643_mod4_leu	94.98	leu	leu	forced_prediCAT	Y	Y	1.2783306710153566	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000449_AHF21228-1_3575_mod3_gly	100.00	gly	no_confident_result	prediCAT	N	N	0.9080742000939439	prediCAT_jk7
jk7	k8_as_query	BGC0000449_AHF21228-1_3575_mod3_gly	100.00	gly	gly	forced_prediCAT	Y	Y	0.9080742000939439	forced_prediCAT_jk7
jk7	k8_as_query	AHF21228-1_474_mod1_val	62.24	val	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AHF21228-1_474_mod1_val	62.24	val	ile	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	P45745_A2-3-_athr|thr	72.08	athr|thr	thr	prediCAT	Y	Y	0.154979418727717	prediCAT_jk7
jk7	k8_as_query	P45745_A2-3-_athr|thr	72.08	athr|thr	thr	forced_prediCAT	Y	Y	0.154979418727717	forced_prediCAT_jk7
jk7	k8_as_query	AGM16412-1_1974_mod2_val	100.00	val	val	prediCAT	Y	Y	3.341098711905823	prediCAT_jk7
jk7	k8_as_query	AGM16412-1_1974_mod2_val	100.00	val	val	forced_prediCAT	Y	Y	3.341098711905823	forced_prediCAT_jk7
jk7	k8_as_query	ADL64235_1458_mod2_phe	37.83	phe	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	ADL64235_1458_mod2_phe	37.83	phe	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q9Z4X5_A2_gly	100.00	gly	gly	prediCAT	Y	Y	0.9206070256104437	prediCAT_jk7
jk7	k8_as_query	Q9Z4X5_A2_gly	100.00	gly	gly	forced_prediCAT	Y	Y	0.9206070256104437	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000398_AFH75330-1_3756_mod4_val	80.67	val	no_confident_result	prediCAT	N	N	0.4601241806634431	prediCAT_jk7
jk7	k8_as_query	BGC0000398_AFH75330-1_3756_mod4_val	80.67	val	val	forced_prediCAT	Y	Y	0.4601241806634431	forced_prediCAT_jk7
jk7	k8_as_query	O87704_A2-4-_thr	80.66	thr	thr	prediCAT	Y	Y	0.5380200396823699	prediCAT_jk7
jk7	k8_as_query	O87704_A2-4-_thr	80.66	thr	thr	forced_prediCAT	Y	Y	0.5380200396823699	forced_prediCAT_jk7
jk7	k8_as_query	Q93N87_A2_hpg|hpg2cl	87.69	hpg|hpg2cl	no_confident_result	prediCAT	N	N	2.601904189065359	prediCAT_jk7
jk7	k8_as_query	Q93N87_A2_hpg|hpg2cl	87.69	hpg|hpg2cl	hpg|hpg2cl	forced_prediCAT	Y	Y	2.601904189065359	forced_prediCAT_jk7
jk7	k8_as_query	Q93I56_A1_asn	98.64	asn	no_confident_result	prediCAT	N	N	2.811116684733923	prediCAT_jk7
jk7	k8_as_query	Q93I56_A1_asn	98.64	asn	asn	forced_prediCAT	Y	Y	2.811116684733923	forced_prediCAT_jk7
jk7	k8_as_query	Q83VS0_A4-14-_dhab|dht	85.88	dhab|dht	no_confident_result	prediCAT	N	N	4.089742595062718	prediCAT_jk7
jk7	k8_as_query	Q83VS0_A4-14-_dhab|dht	85.88	dhab|dht	dhab|dht	forced_prediCAT	Y	Y	4.089742595062718	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000423_CBG75492-1_240_mod1_fhorn	100.00	fhorn	no_confident_result	prediCAT	N	N	0.9181903196578315	prediCAT_jk7
jk7	k8_as_query	BGC0000423_CBG75492-1_240_mod1_fhorn	100.00	fhorn	nme-fhorn	forced_prediCAT	Y	N	0.9181903196578315	forced_prediCAT_jk7
jk7	k8_as_query	Q2VQ15_A1-4-_ile	69.79	ile	no_confident_result	prediCAT	N	N	0.010995216383565242	prediCAT_jk7
jk7	k8_as_query	Q2VQ15_A1-4-_ile	69.79	ile	val	forced_prediCAT	Y	N	0.010995216383565242	forced_prediCAT_jk7
jk7	k8_as_query	Q45R85_A4_thr	59.00	thr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q45R85_A4_thr	59.00	thr	thr	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q65NK5_A2_leu	85.08	leu	leu	prediCAT	Y	Y	0.8174650340825182	prediCAT_jk7
jk7	k8_as_query	Q65NK5_A2_leu	85.08	leu	leu	forced_prediCAT	Y	Y	0.8174650340825182	forced_prediCAT_jk7
jk7	k8_as_query	EPE34341-1_5024_mod5_3oh-gln	100.00	3oh-gln	no_confident_result	prediCAT	N	N	0.6909561500400845	prediCAT_jk7
jk7	k8_as_query	EPE34341-1_5024_mod5_3oh-gln	100.00	3oh-gln	thr	forced_prediCAT	Y	N	0.6909561500400845	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000369_AHZ20773-1_2017_mod2_tyr	100.00	tyr	no_confident_result	prediCAT	N	N	0.9614553453555457	prediCAT_jk7
jk7	k8_as_query	BGC0000369_AHZ20773-1_2017_mod2_tyr	100.00	tyr	tyr	forced_prediCAT	Y	Y	0.9614553453555457	forced_prediCAT_jk7
jk7	k8_as_query	BGC0001036_AGZ15459-1_2235_mod2_3oh-3me-pro	100.00	3oh-3me-pro	no_confident_result	prediCAT	N	N	0.8454470084643745	prediCAT_jk7
jk7	k8_as_query	BGC0001036_AGZ15459-1_2235_mod2_3oh-3me-pro	100.00	3oh-3me-pro	3oh-3me-pro	forced_prediCAT	Y	Y	0.8454470084643745	forced_prediCAT_jk7
jk7	k8_as_query	Q70LM5_A2-8-_val	82.22	val	val	prediCAT	Y	Y	0.5885756185290484	prediCAT_jk7
jk7	k8_as_query	Q70LM5_A2-8-_val	82.22	val	val	forced_prediCAT	Y	Y	0.5885756185290484	forced_prediCAT_jk7
jk7	k8_as_query	ChaP_mod1_trp	34.89	trp	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	ChaP_mod1_trp	34.89	trp	ala	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70LM6_A2-4-_leu	68.74	leu	no_confident_result	prediCAT	N	N	0.236373794577427	prediCAT_jk7
jk7	k8_as_query	Q70LM6_A2-4-_leu	68.74	leu	leu	forced_prediCAT	Y	Y	0.236373794577427	forced_prediCAT_jk7
jk7	k8_as_query	AEA30273-1_2593_mod3_boh-ome-tyr	56.73	boh-ome-tyr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AEA30273-1_2593_mod3_boh-ome-tyr	56.73	boh-ome-tyr	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70KJ6_A1-4-_val	77.54	val	val	prediCAT	Y	Y	0.44632570173539776	prediCAT_jk7
jk7	k8_as_query	Q70KJ6_A1-4-_val	77.54	val	val	forced_prediCAT	Y	Y	0.44632570173539776	forced_prediCAT_jk7
jk7	k8_as_query	AHZ34232-1_1547_mod2_leu	73.00	leu	no_confident_result	prediCAT	N	N	0.592327065549491	prediCAT_jk7
jk7	k8_as_query	AHZ34232-1_1547_mod2_leu	73.00	leu	val	forced_prediCAT	Y	N	0.592327065549491	forced_prediCAT_jk7
jk7	k8_as_query	AGZ15476-1_490_mod1_3oh-leu	100.00	3oh-leu	no_confident_result	prediCAT	N	N	0.7335384473224666	prediCAT_jk7
jk7	k8_as_query	AGZ15476-1_490_mod1_3oh-leu	100.00	3oh-leu	3oh-leu	forced_prediCAT	Y	Y	0.7335384473224666	forced_prediCAT_jk7
jk7	k8_as_query	Q9RK14_A2_athr	50.51	athr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q9RK14_A2_athr	50.51	athr	thr	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000974_AIR74926-1_511_mod1_gly	52.50	gly	gly	prediCAT	Y	Y	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000974_AIR74926-1_511_mod1_gly	52.50	gly	gly	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	EFE73308-1_231_mod1_dab|dpr	100.00	dab|dpr	no_confident_result	prediCAT	N	N	0.8462310732292876	prediCAT_jk7
jk7	k8_as_query	EFE73308-1_231_mod1_dab|dpr	100.00	dab|dpr	cysa	forced_prediCAT	Y	N	0.8462310732292876	forced_prediCAT_jk7
jk7	k8_as_query	O33743_A4-8-_val	68.88	val	no_confident_result	prediCAT	N	N	0.3524747493328517	prediCAT_jk7
jk7	k8_as_query	O33743_A4-8-_val	68.88	val	val	forced_prediCAT	Y	Y	0.3524747493328517	forced_prediCAT_jk7
jk7	k8_as_query	AHF21229-1_474_mod2_ile	69.17	ile	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AHF21229-1_474_mod2_ile	69.17	ile	ile	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	simA_mod8_leu	58.61	leu	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	simA_mod8_leu	58.61	leu	abu|iva	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000314_WP_010369428-1_544_mod1_val	100.00	val	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	BGC0000314_WP_010369428-1_544_mod1_val	100.00	val	no_confident_result	forced_prediCAT	N	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	Q70AZ7_A3_bht	100.00	bht	bht	prediCAT	Y	Y	3.374751935470181	prediCAT_jk7
jk7	k8_as_query	Q70AZ7_A3_bht	100.00	bht	bht	forced_prediCAT	Y	Y	3.374751935470181	forced_prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A6_gln	58.62	gln	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	Q8NJX1_A6_gln	58.62	gln	gln	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k8_as_query	AEF33078-1_463_mod1_thr	66.87	thr	no_confident_result	prediCAT	N	N	0.0	prediCAT_jk7
jk7	k8_as_query	AEF33078-1_463_mod1_thr	66.87	thr	val	forced_prediCAT	Y	N	0.0	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000431_EFE73312-1_5470_mod5_thr	100.00	thr	no_confident_result	prediCAT	N	N	1.240052477221994	prediCAT_jk7
jk7	k8_as_query	BGC0000431_EFE73312-1_5470_mod5_thr	100.00	thr	val	forced_prediCAT	Y	N	1.240052477221994	forced_prediCAT_jk7
jk7	k8_as_query	BGC0000419_AIG79242-1_473_mod1_dpg	99.35	dpg	dpg	prediCAT	Y	Y	2.676488409719186	prediCAT_jk7
jk7	k8_as_query	BGC0000419_AIG79242-1_473_mod1_dpg	99.35	dpg	dpg	forced_prediCAT	Y	Y	2.676488409719186	forced_prediCAT_jk7
jk7	k2_as_query	P27743_A2_cys	66.16	cys	cys	prediCAT	Y	Y	0.09781371742303939	prediCAT_jk7
jk7	k2_as_query	P27743_A2_cys	66.16	cys	cys	forced_prediCAT	Y	Y	0.09781371742303939	forced_prediCAT_jk7
jk7	k2_as_query	P94873_A3_val	54.10	val	val	prediCAT	Y	Y	0.0	prediCAT_jk7
jk7	k2_as_query	P94873_A3_val	54.10	val	val	forced_prediCAT	Y	Y	0.0	forced_prediCAT_jk7
jk7	k2_as_query	BGC0000425_AFH75322-1_565_mod1_dhabu	88.96	dhabu	no_confident_result	prediCAT	N	N	4.5768963110275465	prediCAT_jk7
